sub_id	form_lg	age	sex	hispanic	non_hispanic	decline	black	am_indian	asian	hawaiian	white	disorder	disorder_exp	e_native	e_age_learn	age_move_us	native_lg	home_lg	dominancelg1	dominancelg2	acquisitionlg1	acquisitionlg2	percent_exp_eng	percent_exp_sp	percent_read_eng	percent_read_sp	percent_speak_eng	percent_speak_sp	years_education	education	english	e_acquire_age	e_fluent_age	e_beganread_age	e_fluentread_age	e_country_spoken_y	e_country_spoken_y_m	e_family_spoken_y	e_family_spoken_y_m	e_work_spoken_y	e_work_spoken_y_m	e_speaking_prof	e_understanding_prof	e_reading_prof	e_friends_con	e_family_con	e_reading_con	e_instruction_con	e_tv_con	e_music_con	e_friends_exp	e_family_exp	e_reading_exp	e_instruction_exp	e_tv_exp	e_music_exp	e_selfrate_accent	e_otherrate_accent	spanish	s_acquire_age	s_fluent_age	s_beganread_age	s_fluentread_age	s_country_spoken_y	s_country_spoken_y_m	s_family_spoken_y	s_family_spoken_y_m	s_work_spoken_y	s_work_spoken_y_m	s_speaking_prof	s_understanding_prof	s_reading_prof	s_friends_con	s_family_con	s_reading_con	s_instruction_con	s_tv_con	s_music_con	s_friends_exp	s_family_exp	s_reading_exp	s_instruction_exp	s_tv_exp	s_music_exp	s_selfrate_accent	s_otherrate_accent
leapq_eng_21	0	19	1	1	0	0	0	0	0	0	0	0	NA	0	5	5	1	1	1	0	1	0	65	45	70	30	25	75	13	5	2	5	10	6	10	14	14	0	0	15	15	7	8	7	9	0	8	1	4	7	8	10	9	8	8	7	3	1	1	1	4	4	7	5	5	19	19	4	4	8	8	8	8	10	7	1	5	8	7	10	7	6	3	9	1	1
leapq_eng_25	0	20	0	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	0	1	0	1	70	30	90	10	60	40	16	4	1	1	5	5	5	19	19.5	16	16	20	20	10	10	10	5	10	7	0	0	7	9	7	8	9	8	8	0	0	2	2	12	16	18	0	0.5	20	20	2	2	6	6	5	5	10	5	7	7	7	1	3	2	5	3	5	7	10
leapq_eng_26	0	19	1	1	0	0	0	0	0	0	0	0	NA	0	4	NA	1	1	1	0	1	0	80	20	100	0	50	50	14	4	2	4	6	6	7	19	19.75	15	15	15	15	9	9	9	10	1	10	2	5	5	9	1	10	3	5	5	4	3	1	2	4	5	5	0	0.25	19	19	5	5	8	9	8	2	10	2	0	1	5	3	6	1	1	2	6	1	1
leapq_eng_29	0	18	1	1	0	0	0	0	0	0	0	0	NA	0	4	NA	1	0	0	1	1	0	60	40	15	85	20	80	14	2	2	4	5	4	5	18	18	12	12	16	16	9	8	8	5	7	8	1	5	4	9	6	9	10	8	8	0	0	1	1	4	8	10	0	0.5	19	19	6	6	8	8	8	5	10	8	0	5	5	2	10	3	2	5	5	1	0
leapq_eng_30	0	18	1	1	0	0	0	0	0	0	0	0	NA	0	4	NA	1	1	0	1	1	0	80	20	90	10	50	50	16	5	2	4	6	5	6	18	18.5	18	18.5	18	18.5	7	8	8	10	8	10	8	10	10	10	8	10	8	10	10	1	1	1	1	6	7	9	0	0.166666667	18	18.5	8	8	7	9	8	8	10	8	8	8	8	10	10	9	9	9	8	4	1
leapq_eng_31	0	19	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	0	1	0	1	60	40	90	10	50	50	15	4	1	1	4	4	5	19	19	19	19	15	15	8	8	9	10	10	10	10	5	8	10	10	10	10	5	5	4	2	2	1	4	6	6	19	19	19	19	15	15	8	8	8	8	0	5	1	8	8	10	10	5	2	0	10	4	3
leapq_eng_32	0	19	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	0	1	1	0	55	45	90	10	50	50	15	4	1	0	4	5	6	19	19	19	19	19	19	8	9	9	10	1	10	0	7	9	10	5	9	0	10	10	2	2	1	0	3	4	6	19	19	19	19	19	19	9	10	9	9	10	5	0	7	7	10	10	4	0	5	9	1	3
leapq_sp_01	1	19	1	1	0	0	0	0	0	0	1	0	NA	0	4	0	1	0	0	1	1	0	60	37	95	4	50	45	13	4	2	4	5	5	5	19	19	15	15	15	15	10	10	10	8	8	6	0	9	4	9	7	10	1	9	7	0	0	1	1	3	6	6	0	0.25	0	0.25	0	0	9	9	9	7	10	4	0	1	3	8	10	2	0	3	4	0	0
leapq_sp_02	1	19	0	1	0	0	0	0	0	0	1	0	NA	0	8	8	1	1	0	1	1	0	80	15	80	15	50	40	13	4	2	8	9	9	9	11	11	0	0	11	11	10	10	10	10	0	9	0	9	0	10	0	9	0	7	7	2	1	1	1	3	6	7	8	8	19	19	8	8	8	8	7	7	10	5	0	8	0	4	10	3	0	4	0	3	1
leapq_sp_03	1	21	1	1	0	0	0	0	0	0	0	0	NA	0	5	NA	1	1	1	0	1	0	50	50	50	50	50	50	16	4	2	7	8	7	8	21	21.91666667	10	10	12	12	8	8	8	8	8	8	7	6	6	10	5	5	5	6	5	0	0	1	2	7	6	7	18	18.33333333	21	21.91666667	18	18	8	8	8	9	10	8	8	9	9	9	10	8	8	9	9	0	0
